phase,setup,kernel,batch,seq_len,context_len,decode_steps,model_dim,num_heads,single_latency_ms_p50,dual_latency_ms_p50,dual_compute_ms_p50,dual_comm_modeled_ms,dual_comm_observed_ms,collective_bytes_total,required_overlap_pct,target_overlap_frac,required_bw_multiplier_at_target_overlap,required_bw_gbps_at_target_overlap,scenario_label
kernel,dual_die_naive,qkv_proj,1,512,0,0,1024,16,0.309584,2.214057,0.482474,14.095186324093449,1.731583,12582912.0,101.22658896466288,0.5,inf,inf,dual_die_naive|qkv_proj|B1|S512|D1024
kernel,dual_die_optimized,qkv_proj,1,512,0,0,1024,16,0.309584,1.803728,0.735297,14.095186324093449,1.058653,12582912.0,103.02027224196613,0.5,inf,inf,dual_die_optimized|qkv_proj|B1|S512|D1024
kernel,dual_die_naive,attention,1,512,0,0,1024,16,0.398326,3.282807,0.944412,72.86204958413529,2.28205,8650752.0,100.74947932856242,0.5,inf,inf,dual_die_naive|attention|B1|S512|D1024
kernel,dual_die_optimized,attention,1,512,0,0,1024,16,0.398326,43.561221,18.861384,72.86204958413529,24.587116,8650752.0,125.3397455951062,0.5,inf,inf,dual_die_optimized|attention|B1|S512|D1024
kernel,dual_die_naive,mlp,1,512,0,0,1024,16,0.486976,1.932067,0.888179,8.41854050406759,1.069255,8388608.0,104.7657073076521,0.5,inf,inf,dual_die_naive|mlp|B1|S512|D1024
kernel,dual_die_optimized,mlp,1,512,0,0,1024,16,0.486976,1.170468,0.314425,8.41854050406759,0.864119,8388608.0,97.95034543200654,0.5,inf,inf,dual_die_optimized|mlp|B1|S512|D1024
kernel,dual_die_naive,rmsnorm,1,512,0,0,1024,16,0.246183,1.0265,0.415825,9.712579245643724,0.610675,4202496.0,101.74662152770684,0.5,inf,inf,dual_die_naive|rmsnorm|B1|S512|D1024
kernel,dual_die_optimized,rmsnorm,1,512,0,0,1024,16,0.246183,2.789504,0.826274,9.712579245643724,1.963742,4202496.0,105.97257417755621,0.5,inf,inf,dual_die_optimized|rmsnorm|B1|S512|D1024
kernel,dual_die_naive,out_proj,1,512,0,0,1024,16,0.218356,2.389723,0.659327,8.41854050406759,1.699875,8388608.0,105.23809322752484,0.5,inf,inf,dual_die_naive|out_proj|B1|S512|D1024
kernel,dual_die_optimized,out_proj,1,512,0,0,1024,16,0.218356,0.982432,0.226317,8.41854050406759,0.756491,8388608.0,100.0945650851968,0.5,inf,inf,dual_die_optimized|out_proj|B1|S512|D1024
kernel,dual_die_naive,qkv_proj,1,1024,0,0,1024,16,0.668344,3.067849,0.855304,24.868710648679556,2.228431,25165824.0,100.75178807072544,0.5,inf,inf,dual_die_naive|qkv_proj|B1|S1024|D1024
kernel,dual_die_optimized,qkv_proj,1,1024,0,0,1024,16,0.668344,1.525354,0.543119,24.868710648679556,0.988579,25165824.0,99.49645559929078,0.5,inf,inf,dual_die_optimized|qkv_proj|B1|S1024|D1024
kernel,dual_die_naive,attention,1,1024,0,0,1024,16,1.143543,4.366427,1.037764,145.72409916827058,3.2919,17301504.0,99.92741145726497,0.5,inf,inf,dual_die_naive|attention|B1|S1024|D1024
kernel,dual_die_optimized,attention,1,1024,0,0,1024,16,1.143543,105.903259,51.088542,145.72409916827058,54.685625,17301504.0,134.2736714689363,0.5,inf,inf,dual_die_optimized|attention|B1|S1024|D1024
kernel,dual_die_naive,mlp,1,1024,0,0,1024,16,1.082203,2.464578,1.101548,14.042831008056131,1.415398,16777216.0,100.13775712311073,0.5,inf,inf,dual_die_naive|mlp|B1|S1024|D1024
kernel,dual_die_optimized,mlp,1,1024,0,0,1024,16,1.082203,1.484927,0.283721,14.042831008056131,1.201205,16777216.0,94.31395279525955,0.5,inf,inf,dual_die_optimized|mlp|B1|S1024|D1024
kernel,dual_die_naive,rmsnorm,1,1024,0,0,1024,16,0.236601,1.735359,0.86761,13.309246491701062,0.86792,8404992.0,104.74113241792813,0.5,inf,inf,dual_die_naive|rmsnorm|B1|S1024|D1024
kernel,dual_die_optimized,rmsnorm,1,1024,0,0,1024,16,0.236601,2.618826,0.806758,13.309246491701062,1.826336,8404992.0,104.28391645128461,0.5,inf,inf,dual_die_optimized|rmsnorm|B1|S1024|D1024
kernel,dual_die_naive,out_proj,1,1024,0,0,1024,16,0.301001,2.947536,0.868907,14.042831008056131,2.07863,16777216.0,104.04409908282884,0.5,inf,inf,dual_die_naive|out_proj|B1|S1024|D1024
kernel,dual_die_optimized,out_proj,1,1024,0,0,1024,16,0.301001,0.990655,0.1948,14.042831008056131,0.795855,16777216.0,99.24373511338935,0.5,inf,inf,dual_die_optimized|out_proj|B1|S1024|D1024
