phase,setup,kernel,batch,seq_len,context_len,decode_steps,model_dim,num_heads,overlap_frac,single_latency_ms_p50,predicted_dual_latency_ms_p50,predicted_speedup_single_over_dual,dual_wins,scenario_label
kernel,dual_die_naive,qkv_proj,1,512,0,0,1024,16,0.0,0.309584,14.577660324093449,0.021236878423372945,False,dual_die_naive|qkv_proj|B1|S512|D1024
kernel,dual_die_naive,qkv_proj,1,512,0,0,1024,16,0.25,0.309584,11.053863743070087,0.02800685870531787,False,dual_die_naive|qkv_proj|B1|S512|D1024
kernel,dual_die_naive,qkv_proj,1,512,0,0,1024,16,0.5,0.309584,7.530067162046724,0.04111304631655542,False,dual_die_naive|qkv_proj|B1|S512|D1024
kernel,dual_die_naive,qkv_proj,1,512,0,0,1024,16,0.75,0.309584,4.0062705810233625,0.07727486043164858,False,dual_die_naive|qkv_proj|B1|S512|D1024
kernel,dual_die_naive,qkv_proj,1,512,0,0,1024,16,0.9,0.309584,1.8919926324093446,0.16362854415863262,False,dual_die_naive|qkv_proj|B1|S512|D1024
kernel,dual_die_optimized,qkv_proj,1,512,0,0,1024,16,0.0,0.309584,14.830483324093448,0.020874842257976388,False,dual_die_optimized|qkv_proj|B1|S512|D1024
kernel,dual_die_optimized,qkv_proj,1,512,0,0,1024,16,0.25,0.309584,11.306686743070086,0.027380611759651455,False,dual_die_optimized|qkv_proj|B1|S512|D1024
kernel,dual_die_optimized,qkv_proj,1,512,0,0,1024,16,0.5,0.309584,7.782890162046725,0.03977751112429761,False,dual_die_optimized|qkv_proj|B1|S512|D1024
kernel,dual_die_optimized,qkv_proj,1,512,0,0,1024,16,0.75,0.309584,4.259093581023362,0.07268776656595889,False,dual_die_optimized|qkv_proj|B1|S512|D1024
kernel,dual_die_optimized,qkv_proj,1,512,0,0,1024,16,0.9,0.309584,2.1448156324093444,0.14434061152950187,False,dual_die_optimized|qkv_proj|B1|S512|D1024
kernel,dual_die_naive,attention,1,512,0,0,1024,16,0.0,0.398326,73.80646158413529,0.005396898746404885,False,dual_die_naive|attention|B1|S512|D1024
kernel,dual_die_naive,attention,1,512,0,0,1024,16,0.25,0.398326,55.59094918810147,0.00716530309011627,False,dual_die_naive|attention|B1|S512|D1024
kernel,dual_die_naive,attention,1,512,0,0,1024,16,0.5,0.398326,37.375436792067646,0.010657427288837425,False,dual_die_naive|attention|B1|S512|D1024
kernel,dual_die_naive,attention,1,512,0,0,1024,16,0.75,0.398326,19.159924396033823,0.020789539236514682,False,dual_die_naive|attention|B1|S512|D1024
kernel,dual_die_naive,attention,1,512,0,0,1024,16,0.9,0.398326,8.230616958413528,0.048395643001321056,False,dual_die_naive|attention|B1|S512|D1024
kernel,dual_die_optimized,attention,1,512,0,0,1024,16,0.0,0.398326,91.7234335841353,0.0043426852270486245,False,dual_die_optimized|attention|B1|S512|D1024
kernel,dual_die_optimized,attention,1,512,0,0,1024,16,0.25,0.398326,73.50792118810148,0.005418817367732553,False,dual_die_optimized|attention|B1|S512|D1024
kernel,dual_die_optimized,attention,1,512,0,0,1024,16,0.5,0.398326,55.29240879206765,0.007203990723174003,False,dual_die_optimized|attention|B1|S512|D1024
kernel,dual_die_optimized,attention,1,512,0,0,1024,16,0.75,0.398326,37.076896396033824,0.010743240096077987,False,dual_die_optimized|attention|B1|S512|D1024
kernel,dual_die_optimized,attention,1,512,0,0,1024,16,0.9,0.398326,26.14758895841353,0.01523375637553115,False,dual_die_optimized|attention|B1|S512|D1024
kernel,dual_die_naive,mlp,1,512,0,0,1024,16,0.0,0.486976,9.30671950406759,0.0523252043630586,False,dual_die_naive|mlp|B1|S512|D1024
