setup,context_len,num_experts,top_k,routing_skew,slo_ms,best_throughput_tokens_per_s,best_concurrency,best_latency_ms_p90,feasible
dual_die_moe_locality,2048,8,2,0.0,20.0,0.0,0,0.0,False
dual_die_moe_locality,2048,8,2,0.0,40.0,0.0,0,0.0,False
dual_die_moe_locality,2048,8,2,0.0,80.0,0.0,0,0.0,False
dual_die_moe_locality,2048,8,2,0.0,120.0,2734.855298,16,94.863895,True
dual_die_moe_locality,2048,8,2,0.0,200.0,2734.855298,16,94.863895,True
dual_die_moe_locality,2048,8,2,0.0,300.0,2734.855298,16,94.863895,True
dual_die_moe_locality,2048,8,2,2.5,20.0,0.0,0,0.0,False
dual_die_moe_locality,2048,8,2,2.5,40.0,0.0,0,0.0,False
dual_die_moe_locality,2048,8,2,2.5,80.0,0.0,0,0.0,False
dual_die_moe_locality,2048,8,2,2.5,120.0,2689.105657,16,95.446912,True
dual_die_moe_locality,2048,8,2,2.5,200.0,2689.105657,16,95.446912,True
dual_die_moe_locality,2048,8,2,2.5,300.0,2689.105657,16,95.446912,True
dual_die_moe_locality,4096,8,2,0.0,20.0,0.0,0,0.0,False
dual_die_moe_locality,4096,8,2,0.0,40.0,0.0,0,0.0,False
dual_die_moe_locality,4096,8,2,0.0,80.0,0.0,0,0.0,False
dual_die_moe_locality,4096,8,2,0.0,120.0,2675.192785,16,95.938272,True
dual_die_moe_locality,4096,8,2,0.0,200.0,2675.192785,16,95.938272,True
dual_die_moe_locality,4096,8,2,0.0,300.0,2675.192785,16,95.938272,True
dual_die_moe_locality,4096,8,2,2.5,20.0,0.0,0,0.0,False
dual_die_moe_locality,4096,8,2,2.5,40.0,0.0,0,0.0,False
dual_die_moe_locality,4096,8,2,2.5,80.0,0.0,0,0.0,False
dual_die_moe_locality,4096,8,2,2.5,120.0,2695.110129,16,95.804305,True
dual_die_moe_locality,4096,8,2,2.5,200.0,2695.110129,16,95.804305,True
dual_die_moe_locality,4096,8,2,2.5,300.0,2695.110129,16,95.804305,True
dual_die_moe_naive,2048,8,2,0.0,20.0,0.0,0,0.0,False
dual_die_moe_naive,2048,8,2,0.0,40.0,0.0,0,0.0,False
dual_die_moe_naive,2048,8,2,0.0,80.0,0.0,0,0.0,False
dual_die_moe_naive,2048,8,2,0.0,120.0,2701.054751,16,95.660953,True
dual_die_moe_naive,2048,8,2,0.0,200.0,2701.054751,16,95.660953,True
dual_die_moe_naive,2048,8,2,0.0,300.0,2701.054751,16,95.660953,True
dual_die_moe_naive,2048,8,2,2.5,20.0,0.0,0,0.0,False
dual_die_moe_naive,2048,8,2,2.5,40.0,0.0,0,0.0,False
dual_die_moe_naive,2048,8,2,2.5,80.0,0.0,0,0.0,False
dual_die_moe_naive,2048,8,2,2.5,120.0,2754.554279,16,93.578035,True
dual_die_moe_naive,2048,8,2,2.5,200.0,2754.554279,16,93.578035,True
dual_die_moe_naive,2048,8,2,2.5,300.0,2754.554279,16,93.578035,True
dual_die_moe_naive,4096,8,2,0.0,20.0,0.0,0,0.0,False
dual_die_moe_naive,4096,8,2,0.0,40.0,0.0,0,0.0,False
dual_die_moe_naive,4096,8,2,0.0,80.0,0.0,0,0.0,False
dual_die_moe_naive,4096,8,2,0.0,120.0,2691.4134,16,96.025252,True
dual_die_moe_naive,4096,8,2,0.0,200.0,2691.4134,16,96.025252,True
dual_die_moe_naive,4096,8,2,0.0,300.0,2691.4134,16,96.025252,True
dual_die_moe_naive,4096,8,2,2.5,20.0,0.0,0,0.0,False
dual_die_moe_naive,4096,8,2,2.5,40.0,0.0,0,0.0,False
dual_die_moe_naive,4096,8,2,2.5,80.0,0.0,0,0.0,False
dual_die_moe_naive,4096,8,2,2.5,120.0,2696.028666,16,95.604855,True
dual_die_moe_naive,4096,8,2,2.5,200.0,2696.028666,16,95.604855,True
dual_die_moe_naive,4096,8,2,2.5,300.0,2696.028666,16,95.604855,True
single_die,2048,8,2,0.0,20.0,0.0,0,0.0,False
single_die,2048,8,2,0.0,40.0,0.0,0,0.0,False
single_die,2048,8,2,0.0,80.0,0.0,0,0.0,False
single_die,2048,8,2,0.0,120.0,0.0,0,0.0,False
single_die,2048,8,2,0.0,200.0,1637.70731,16,157.756764,True
single_die,2048,8,2,0.0,300.0,1637.70731,16,157.756764,True
single_die,2048,8,2,2.5,20.0,0.0,0,0.0,False
single_die,2048,8,2,2.5,40.0,0.0,0,0.0,False
single_die,2048,8,2,2.5,80.0,0.0,0,0.0,False
single_die,2048,8,2,2.5,120.0,0.0,0,0.0,False
single_die,2048,8,2,2.5,200.0,1707.723645,16,150.009541,True
single_die,2048,8,2,2.5,300.0,1707.723645,16,150.009541,True
single_die,4096,8,2,0.0,20.0,0.0,0,0.0,False
single_die,4096,8,2,0.0,40.0,0.0,0,0.0,False
single_die,4096,8,2,0.0,80.0,0.0,0,0.0,False
single_die,4096,8,2,0.0,120.0,0.0,0,0.0,False
single_die,4096,8,2,0.0,200.0,1712.063868,16,149.598887,True
single_die,4096,8,2,0.0,300.0,1712.063868,16,149.598887,True
single_die,4096,8,2,2.5,20.0,0.0,0,0.0,False
single_die,4096,8,2,2.5,40.0,0.0,0,0.0,False
single_die,4096,8,2,2.5,80.0,0.0,0,0.0,False
single_die,4096,8,2,2.5,120.0,0.0,0,0.0,False
single_die,4096,8,2,2.5,200.0,1677.499579,16,152.715681,True
single_die,4096,8,2,2.5,300.0,1677.499579,16,152.715681,True
